slope_Outdoor view,r_value_Outdoor view,p_value_Outdoor view,std_err_Outdoor view,timestamp_Outdoor view,slope_Indoor w/ window view,r_value_Indoor w/ window view,p_value_Indoor w/ window view,std_err_Indoor w/ window view,timestamp_Indoor w/ window view,slope_Indoor w/o window view,r_value_Indoor w/o window view,p_value_Indoor w/o window view,std_err_Indoor w/o window view,timestamp_Indoor w/o window view
-1.74014020535813,-0.9814191335909842,4.4862890456806507e-36,0.04910551370659721,20230619T0900,-1.3849959039574828,-0.9705068020340873,2.5984837336710073e-31,0.04965685256058965,20230616T1730,-1.4252773397272938,-0.9879406817552883,1.5050189080835498e-40,0.032241183933320774,20230612T1130
-1.2972683153460196,-0.974975839203875,5.2932784559730956e-33,0.042694899262282184,20230802T1600,-1.5471426543767546,-0.9945421417979139,8.833037666011037e-49,0.023427140561132567,20231022T1400,-1.3334598326681641,-0.987457288584708,3.844670905838931e-40,0.030774118150359693,20230612T1400
-1.3959376886150632,-0.9561179856455989,3.062616595297009e-27,0.06174115178503665,20230616T0900,-1.3267576543276476,-0.9635244382391227,3.9395488665317446e-29,0.053189682617915186,20230619T1730,-1.3838087155934884,-0.9895538843949606,4.8807532469576905e-42,0.02909854420282959,20230621T1300
-1.2806773077033384,-0.9910409939557953,1.2444262917345125e-43,0.024911363113213136,20231023T1700,-1.1710296274031722,-0.9871026550775948,7.47759604464623e-40,0.027412285942582736,20230310T1730,-1.5465412309076492,-0.981914840868625,2.3574217117663286e-36,0.043039847329817846,20230613T0930
-0.9925724739433893,-0.9801513291724746,2.1563801588512052e-35,0.028977664559397487,20240311T1530,-1.3533162088956772,-0.9894937201911954,5.5983007665582927e-42,0.02854048771408191,20240110T1100,-1.5461829497391086,-0.9818536025900996,2.554907506463054e-36,0.04310468913099643,20230613T1030
-1.1151695892563611,-0.9615917222811707,1.3309594476004614e-28,0.04594585202791343,20231202T1230,-1.177787452540836,-0.9889782629114287,1.7571079939248576e-41,0.02545069230462514,20230803T1500,-1.2117110338930952,-0.9863009585830738,3.1510196217991644e-39,0.029250722932635455,20231120T1030
-1.2184518352546712,-0.9639040411316488,3.077909610102108e-29,0.04857841829459452,20240319T1100,-1.15762275266621,-0.9836040721863041,2.2831242524771027e-37,0.030635262906279444,20230310T1200,-1.3688241579728657,-0.986304060200534,3.1340498950781437e-39,0.033039617137504994,20230616T1430
-1.1900130319773061,-0.984739594596139,4.129865240898899e-38,0.030355996963435977,20231117T1330,-1.528872371513195,-0.9804963483771355,1.4210939739504991e-35,0.04423332860388061,20230619T1200,-1.3969694652035267,-0.9881410592878582,1.008935569943856e-40,0.03133241682369452,20231122T1000
-1.3075782894699155,-0.9476091815330545,1.9571072022822344e-25,0.06362038905884604,20230614T0930,-1.5767268395036638,-0.9872075727162399,6.153631202810609e-40,0.0367557643763445,20240109T0800,-1.2106573813683696,-0.9859789031692734,5.484037858646388e-39,0.029574085405556776,20231120T1500
-1.5149985948299347,-0.9794801498053669,4.7544807758226143e-35,0.04499441822629956,20240322T1230,-1.5918546072053321,-0.9950540002604349,8.358615550176503e-50,0.02293720532678193,20231022T1130,-1.5491005569698788,-0.9810876565586351,6.832651635611409e-36,0.044113924814088684,20230613T1500
-1.403323706347593,-0.9930928050191341,2.476557104338431e-46,0.02393106499258874,20230623T1700,-1.1882224449601564,-0.9898049438122575,2.7298039850193713e-42,0.024679001193323627,20230803T1030,-1.316903429102611,-0.988646639064142,3.5660359063917375e-41,0.0288890491792561,20231122T1530
-0.9909584661106325,-0.9885798998269495,4.10161860660179e-41,0.021803666823253742,20240320T1730,-1.3812249188413808,-0.991855296951927,1.2754374577939178e-44,0.025601298248048472,20231114T1530,-1.3284734679062058,-0.9890964593910819,1.358275940690763e-41,0.028549947508455357,20230616T1100
-1.3273276376125338,-0.9775541408918145,4.007421517954353e-34,0.04129039204021035,20230224T0800,-1.2991358803116215,-0.979019062774283,8.062833503941728e-35,0.03902835454988132,20230322T0830,-1.342502014387517,-0.9885474996192858,4.3886276699576033e-41,0.029581141402308497,20230612T1230
-1.2835293192304464,-0.9859335010527733,5.923495205285995e-39,0.03140602059592006,20230421T1530,-1.4522535048341816,-0.9936160744271674,3.760376660610873e-47,0.023799502388572077,20231022T1800,-1.361350915927698,-0.9445273715139961,7.451199917605142e-25,0.06832526488496153,20230626T1100
-0.9909308023794284,-0.9826543485219028,8.726719115483703e-37,0.026992352741454402,20230302T0930,-1.2001063930826819,-0.964397417241956,2.2243924464567484e-29,0.04750053723014833,20230614T1230,-1.4030725169138163,-0.9908382373424386,2.124486221027838e-43,0.027603505982812786,20230621T1530
-1.4518611715802936,-0.9812636686663502,5.4699290363433135e-36,0.04114643085930058,20240315T0930,-1.3542981300101211,-0.9921884040103576,4.6990564649696246e-45,0.02457732451822537,20240110T1430,-1.3855405396279232,-0.9898723133930916,2.3299742931710954e-42,0.028680530033888065,20230621T1000
-1.3409754216355594,-0.9944333049227336,1.4170701439897836e-48,0.020508458278991202,20230623T1230,-1.378510775309835,-0.9837962497762308,1.7241180051441964e-37,0.03626107593291632,20230619T0800,-1.367258211493297,-0.9489307118870299,1.0760116639980066e-25,0.06561052617544394,20230626T1430
-1.294172414323781,-0.9835471923225347,2.4794268869342496e-37,0.03430975336724977,20240322T1700,-1.3414863245971906,-0.9887441597353609,2.9022791419875516e-41,0.02929949392490615,20230616T0800,-1.3470919464780446,-0.9863708106316752,2.7893594512569692e-39,0.03243408006655339,20230612T1700
-1.5321714358293406,-0.9727041537012452,4.1532535939387636e-32,0.052757624678839515,20230210T0745,-1.6058613333353196,-0.9881496542816742,9.916257919693432e-41,0.03600433099622155,20240109T1200,-1.2093414000649418,-0.9851752883535196,2.070732098604689e-38,0.030395364078893827,20231120T1130
-1.2020448269917328,-0.9934349557024336,7.344405385970227e-47,0.01997930942484279,20231117T1600,-1.441119581694791,-0.9892487371506161,9.707965460063093e-42,0.030750216760611043,20231115T1200,-1.5454899126471537,-0.9817045045702173,3.104162113912222e-36,0.04326695259796004,20230613T1130
-1.1647665046576685,-0.960141991289978,3.186134853585877e-28,0.04894229785670631,20240319T1430,-1.369924820510503,-0.9810363598632472,7.287419708448721e-36,0.039065922831503015,20240111T1300,-1.3739880297550529,-0.988312995250102,7.119804381820129e-41,0.0305887556549545,20231122T1100
-1.5530788448269965,-0.9720750837569156,7.125590164492119e-32,0.05411662906823387,20230614T0945,-1.1232248798981892,-0.9878585212037654,1.7697736131671637e-40,0.025496459320249017,20230310T0800,-1.371369945739138,-0.9863072092940568,3.1169099862287295e-39,0.03309718028735632,20230616T1530
-1.0596348902032913,-0.9617784057358473,1.1865640875234835e-28,0.04354516926134749,20231202T1700,-1.574554266891064,-0.9908865313189416,1.8723994253795815e-43,0.030894288384415283,20231121T1130,-1.5541521607901918,-0.9809915478715917,7.7082923126032e-36,0.04437336256410348,20230613T1400
-0.9925561831467615,-0.970884695613203,1.9148907889038834e-31,0.03534745100836627,20240311T1000,-1.0391684732009987,-0.9908742986325337,1.9333956319637634e-43,0.02040336629172435,20230614T0830,-1.2104988789194322,-0.9858320950899785,7.030066106416147e-39,0.02972794571157163,20231120T1400
-1.1822674493417316,-0.9863450006548555,2.9180970825359376e-39,0.028493083373267288,20231023T1230,-1.2667948800054096,-0.9868883212121248,1.1079490987063308e-39,0.02990429376118914,20230322T1230,-1.5464933712161735,-0.9855941709069936,1.045668571515101e-38,0.03830396143747371,20230404T1230
-1.526207107832247,-0.9787846123235213,1.0499741750319171e-34,0.04611375293114454,20230208T1130,-1.5632816156293188,-0.9945491657866155,8.564879215843177e-49,0.023656157560104873,20231121T1400,-1.3039027677513215,-0.9896477480192025,3.93422532064991e-42,0.02729288607173246,20231122T1430
-1.2761154065625355,-0.9832059882361738,4.042490871552301e-37,0.03418896529469665,20230224T1300,-1.306338475802628,-0.9837971393154396,1.7218648972547443e-37,0.034361651043057787,20230322T1700,-1.3890075995892515,-0.990252542555606,9.33961250050875e-43,0.028199266028141132,20230621T1430
